g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg_fence,dg_exit,dg_exit,dg_exit,dg_exit,dg_exit,dg_exit,dg_exit,dg_exit,dg_fence,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg_cn,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g_tr-lg,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_tr-sm,g,g,dg,dg,dg_cn,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_tr-lg,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g_tr-lg,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g_tr-sm,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg_cn,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,g,g_tr-sm,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g_tr-sm,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_tr-lg,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg_cn,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g_tr-lg,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg_cn,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g_tr-sm,g,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g_tr-sm,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g_tr-sm,g,g,g,g,g,g_tr-lg,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg_cn,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g_tr-lg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g_tr-sm,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g_tr-lg,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg_cn,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g_tr-lg,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g_tr-sm,g,g,g,g,g,g,g
g,g,g,g_tr-sm,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg_spawn,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,dg,dg,dg,dg,dg,dg,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
